query-id	corpus-id	score
9	49937469	1
9	57667857	1
9	17422560	1
9	32947778	1
9	51769822	1
9	19616406	1
9	59962788	1
9	86184722	1
9	18155310	1
9	26780935	1
9	34554248	1
9	26202430	1
9	19867922	1
9	30646367	1
9	39650734	1
9	72231872	1
9	13520837	1
9	18422164	1
9	30862904	1
9	52979663	1
9	28828844	1
9	21830565	1
9	39081840	1
9	20925036	1
9	14886205	1
9	17412079	1
9	16861758	1
9	93112113	1
9	15041689	1
9	80162314	1
9	20993320	1
9	14640322	1
10	33176873	1
10	17812897	1
10	25824789	1
10	11763983	1
10	27490876	1
10	24184357	1
10	73077810	1
10	18827609	1
10	12786012	1
10	87968870	1
10	14225422	1
10	18316239	1
10	17855844	1
10	32947778	1
10	23914451	1
10	19616406	1
10	86184722	1
10	26780935	1
10	34554248	1
10	26202430	1
10	19867922	1
10	30646367	1
10	39650734	1
10	72231872	1
10	13520837	1
10	52979663	1
10	39081840	1
10	17412079	1
10	93112113	1
10	15041689	1
10	20993320	1
10	23408537	1
10	18084150	1
10	44476983	1
10	25724495	1
10	24508725	1
10	19179079	1
10	26048718	1
10	17150707	1
10	23510685	1
10	39970711	1
10	10694288	1
10	28175164	1
10	18731098	1
10	30563572	1
10	24402267	1
10	31111279	1
10	24588864	1
10	77439230	1
10	38698573	1
11	16852973	1
11	17812897	1
11	25824789	1
11	15375009	1
11	32896934	1
11	29149998	1
11	11480899	1
11	27490876	1
11	93002334	1
11	24184357	1
11	73077810	1
11	13879043	1
11	30163002	1
11	18827609	1
11	12786012	1
11	87968870	1
11	14225422	1
11	29297973	1
11	18334783	1
11	49937469	1
11	18316239	1
11	17855844	1
11	57667857	1
11	17422560	1
11	32947778	1
11	23914451	1
11	21265194	1
11	51769822	1
11	19616406	1
11	86184722	1
11	34554248	1
11	19867922	1
11	91930382	1
11	39650734	1
11	72231872	1
11	13520837	1
11	18422164	1
11	30862904	1
11	28828844	1
11	21830565	1
11	27523575	1
11	39081840	1
11	14886205	1
11	17412079	1
11	93112113	1
11	15041689	1
11	80162314	1
11	26289308	1
11	18084150	1
11	44476983	1
12	22323967	1
12	33176873	1
12	17812897	1
12	25824789	1
12	15375009	1
12	11847784	1
12	23155093	1
12	18827609	1
12	25676643	1
12	18334783	1
12	18316239	1
12	32947778	1
12	23914451	1
12	21265194	1
12	59962788	1
12	26780935	1
12	26202430	1
12	30862904	1
12	39081840	1
12	80162314	1
12	23408537	1
12	18557164	1
12	26048718	1
12	17150707	1
12	23510685	1
12	39970711	1
12	20806155	1
12	28640735	1
12	28175164	1
12	18731098	1
12	32308556	1
12	27847081	1
12	13774329	1
12	27529455	1
12	85101052	1
12	12415691	1
12	41506705	1
12	44185767	1
12	67582956	1
12	10748989	1
12	26924514	1
12	23951429	1
12	28326441	1
12	17555081	1
12	30968749	1
12	26622051	1
12	20390397	1
12	34317538	1
12	28663949	1
12	18835363	1
13	22323967	1
13	25824789	1
13	93002334	1
13	87968870	1
13	46258701	1
13	29564653	1
13	18557164	1
13	20806155	1
13	11919526	1
13	26790545	1
13	20390397	1
13	44145704	1
13	34511655	1
13	33241454	1
13	19796840	1
13	36434348	1
13	27536013	1
13	27372171	1
13	66832845	1
13	13385306	1
13	38753827	1
13	32959732	1
13	90867631	1
13	70089206	1
13	37242217	1
13	10089434	1
13	19850482	1
13	52618188	1
13	28897981	1
13	51639418	1
13	20879311	1
13	20408458	1
13	40018190	1
13	29975124	1
13	30223363	1
13	12763627	1
13	26768723	1
13	31243710	1
13	18067556	1
13	81761658	1
13	23398843	1
13	11773767	1
13	77439230	1
13	22042181	1
13	80503242	1
13	29177904	1
13	44115326	1
13	32531824	1
13	34046031	1
13	29908929	1
14	22323967	1
14	33176873	1
14	11480899	1
14	14225422	1
14	18334783	1
14	19717385	1
14	86184722	1
14	34554248	1
14	26202430	1
14	91930382	1
14	30646367	1
14	39650734	1
14	20925036	1
14	80162314	1
14	20993320	1
14	18084150	1
14	16877897	1
14	24508725	1
14	26048718	1
14	23510685	1
14	39970711	1
14	20806155	1
14	15575117	1
14	27496514	1
14	28175164	1
14	20417897	1
14	18731098	1
14	24402267	1
14	32308556	1
14	11919526	1
14	90066849	1
14	27529455	1
14	22567495	1
14	10751444	1
14	11807040	1
14	29524570	1
14	44185767	1
14	37263609	1
14	11155153	1
14	51681660	1
14	17199951	1
14	91153752	1
14	20986595	1
14	28663949	1
14	37664296	1
14	15425154	1
14	24583187	1
14	44145704	1
14	18795567	1
14	42384185	1
15	22323967	1
15	33176873	1
15	17812897	1
15	25824789	1
15	15375009	1
15	11847784	1
15	32896934	1
15	11480899	1
15	93002334	1
15	30163002	1
15	18827609	1
15	25676643	1
15	14225422	1
15	19717385	1
15	49937469	1
15	32947778	1
15	23914451	1
15	21265194	1
15	26780935	1
15	34554248	1
15	19867922	1
15	91930382	1
15	39650734	1
15	72231872	1
15	13520837	1
15	18422164	1
15	30862904	1
15	52979663	1
15	27523575	1
15	39081840	1
15	20925036	1
15	29564653	1
15	80162314	1
15	20993320	1
15	14640322	1
15	44476983	1
15	16877897	1
15	25724495	1
15	24508725	1
15	11698189	1
15	27165830	1
15	34740556	1
15	19179079	1
15	26048718	1
15	18297650	1
15	39970711	1
15	10694288	1
15	28175164	1
15	10399912	1
15	20417897	1
